booster_id,booster_serial,total_flights,status,first_launch_date,last_launch_date,successful_landings,attempted_landings,fastest_turnaround,vehicle_config
28,B1017,1.0,lost,2016-01-17 18:42:18+00:00,2016-01-17 18:42:18+00:00,0.0,1.0,,Falcon 9 Full Thrust
26,B1018,1.0,lost,2015-06-28 14:21:11+00:00,2015-06-28 14:21:11+00:00,0.0,1.0,,Falcon 9 v1.1
27,B1019,1.0,retired,2015-12-22 01:29:00+00:00,2015-12-22 01:29:00+00:00,1.0,1.0,,Falcon 9 Full Thrust
29,B1020,1.0,lost,2016-03-04 23:35:00+00:00,2016-03-04 23:35:00+00:00,0.0,1.0,,Falcon 9 Full Thrust
31,B1022,1.0,retired,2016-05-06 05:21:00+00:00,2016-05-06 05:21:00+00:00,1.0,1.0,,Falcon 9 Full Thrust
33,B1024,1.0,lost,2016-06-15 14:29:00+00:00,2016-06-15 14:29:00+00:00,0.0,1.0,,Falcon 9 Full Thrust
35,B1026,1.0,retired,2016-08-14 05:26:00+00:00,2016-08-14 05:26:00+00:00,1.0,1.0,,Falcon 9 Full Thrust
36,B1028,1.0,lost,2016-09-03 07:00:00+00:00,2016-09-03 07:00:00+00:00,0.0,0.0,,Falcon 9 Full Thrust
39,B1030,1.0,expended,2017-03-16 06:00:00+00:00,2017-03-16 06:00:00+00:00,0.0,0.0,,Falcon 9 Full Thrust
51,B1033,1.0,lost,2018-02-06 20:45:00+00:00,2018-02-06 20:45:00+00:00,0.0,1.0,,Falcon 9 Full Thrust
41,B1034,1.0,expended,2017-05-15 23:21:00+00:00,2017-05-15 23:21:00+00:00,0.0,0.0,,Falcon 9 Full Thrust
44,B1037,1.0,expended,2017-07-05 23:38:00+00:00,2017-07-05 23:38:00+00:00,0.0,0.0,,Falcon 9 Full Thrust
49,B1042,1.0,retired,2017-10-30 19:34:00+00:00,2017-10-30 19:34:00+00:00,1.0,1.0,,Falcon 9 Block 4
52,B1044,1.0,expended,2018-03-06 05:33:00+00:00,2018-03-06 05:33:00+00:00,0.0,0.0,,Falcon 9 Block 4
1,B1050,1.0,retired,2018-12-05 18:16:16+00:00,2018-12-05 18:16:16+00:00,0.0,1.0,,Falcon 9 Block 5
61,B1054,1.0,expended,2018-12-23 13:51:00+00:00,2018-12-23 13:51:00+00:00,0.0,0.0,,Falcon 9 Block 5
250,B1104,0.0,active,,,0.0,0.0,,Falcon 9 Block 5
244,B1102,0.0,active,,,0.0,0.0,,Falcon 9 Block 5
